Adding 0.5:
4503599627370497.000	4503599627370498.000	1.000

(x+y)+z:	1.000
x+(y+z):	0.000

Possible bug! f=1793.000000, bad_round=1794.000, slow_round=1793.000
Possible bug! f=1795.000000, bad_round=1796.000, slow_round=1795.000
Possible bug! f=1797.000000, bad_round=1798.000, slow_round=1797.000
Possible bug! f=1799.000000, bad_round=1800.000, slow_round=1799.000
Possible bug! f=1801.000000, bad_round=1802.000, slow_round=1801.000
Possible bug! f=1803.000000, bad_round=1804.000, slow_round=1803.000
Possible bug! f=1805.000000, bad_round=1806.000, slow_round=1805.000
Possible bug! f=1807.000000, bad_round=1808.000, slow_round=1807.000
Possible bug! f=1809.000000, bad_round=1810.000, slow_round=1809.000
Possible bug! f=1811.000000, bad_round=1812.000, slow_round=1811.000
Possible bug! f=1813.000000, bad_round=1814.000, slow_round=1813.000
Possible bug! f=1815.000000, bad_round=1816.000, slow_round=1815.000
Possible bug! f=1817.000000, bad_round=1818.000, slow_round=1817.000
Possible bug! f=1819.000000, bad_round=1820.000, slow_round=1819.000
Possible bug! f=1821.000000, bad_round=1822.000, slow_round=1821.000
